City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,287.02,76,85,2.78,SH,1730754836
1,ushuaia,-54.8,-68.3,282.06,66,51,1.56,AR,1730754726
2,mikhaylov,54.2292,39.0186,269.39,94,38,5.97,RU,1730754838
3,adamstown,-25.066,-130.1015,294.45,80,95,8.28,PN,1730754839
4,isafjordur,66.0755,-23.124,275.52,83,100,2.12,IS,1730754841
5,bethel,41.3712,-73.414,285.34,66,40,2.57,US,1730754842
6,hawaiian paradise park,19.5933,-154.9731,297.54,99,100,5.14,US,1730754843
7,tha kham,9.1107,99.2321,299.37,100,100,0.89,TH,1730754844
8,albany,42.6001,-73.9662,284.42,59,100,1.34,US,1730754456
9,kidal,18.4411,1.4078,299.86,18,0,4.33,ML,1730754643
10,guangyuan,32.442,105.823,286.29,93,100,0.26,CN,1730754848
11,capitao poco,-1.7464,-47.0594,303.45,48,50,5.84,BR,1730754849
12,lautoka,-17.6167,177.4667,301.07,61,40,4.63,FJ,1730754850
13,plastun,44.7561,136.2939,268.44,81,7,2.29,RU,1730754851
14,yuzhno-kurilsk,44.0306,145.8556,279.55,71,100,10.02,RU,1730754852
15,port-aux-francais,-49.35,70.2167,279.01,90,99,15.98,TF,1730754853
16,karratha,-20.7377,116.8463,302.82,28,2,3.7,AU,1730754855
17,blackmans bay,-43.0167,147.3167,284.22,73,0,0.45,AU,1730754856
18,aasiaat,68.7098,-52.8699,266.63,96,100,1.23,GL,1730754857
19,namibe,-15.1961,12.1522,293.4,77,55,2.8,AO,1730754858
20,mundri,-6.9558,111.71,298.09,86,96,1.48,ID,1730754859
21,huarmey,-10.0681,-78.1522,293.99,77,32,5.13,PE,1730754860
22,klyuchi,52.2667,79.1667,275.44,63,100,4.76,RU,1730754862
23,ishigaki,24.3448,124.1572,298.22,83,75,5.66,JP,1730754863
24,cidreira,-30.1811,-50.2056,295.21,87,61,10.92,BR,1730754864
25,chonchi,-42.6128,-73.8092,284.33,76,100,4.15,CL,1730754865
26,keflavik,64.0049,-22.5624,282.39,93,100,5.66,IS,1730754867
27,remire-montjoly,4.9167,-52.2667,302.17,74,0,4.63,GF,1730754868
28,tazovsky,67.4667,78.7,269.02,95,100,8.5,RU,1730754869
29,freetown,8.484,-13.2299,299.99,83,40,5.14,SL,1730754871
30,kolokani,13.5728,-8.0339,299.83,24,100,3.35,ML,1730754872
31,grytviken,-54.2811,-36.5092,277.96,68,100,7.91,GS,1730754874
32,christchurch,-43.5333,172.6333,293.26,60,75,3.09,NZ,1730754876
33,vilyuysk,63.7553,121.6247,250.76,100,89,0.99,RU,1730754877
34,jamestown,42.097,-79.2353,289.95,51,0,5.14,US,1730754714
35,karachi,24.9056,67.0822,298.05,83,0,2.06,PK,1730754689
36,laguna,38.421,-121.4238,294.29,39,0,2.57,US,1730754882
37,punta arenas,-53.15,-70.9167,284.21,50,40,9.77,CL,1730754883
38,longyearbyen,78.2186,15.6401,270.06,68,100,5.14,SJ,1730754884
39,kharp,66.8014,65.8081,267.62,91,68,4.78,RU,1730754885
40,kendari,-3.945,122.4989,296.27,96,97,1.23,ID,1730754886
41,bilibino,68.0546,166.4372,246.94,99,96,0.71,RU,1730754888
42,mandvi,22.8333,69.3667,300.44,55,0,3.01,IN,1730754889
43,qamdo,31.1667,97.2333,272.97,77,99,2.21,CN,1730754890
44,st. john's,47.5649,-52.7093,275.36,67,98,2.24,CA,1730754688
45,stenungsund,58.0705,11.8181,283.25,93,100,3.55,SE,1730754892
46,escanaba,45.7453,-87.0646,288.7,100,100,5.14,US,1730754838
47,brainerd,46.358,-94.2008,284.16,77,100,4.12,US,1730754848
48,constantia,44.1833,28.65,278.54,63,2,8.54,RO,1730754896
49,tazacorte,28.629,-17.9293,294.69,88,20,2.06,ES,1730754897
50,ribeira grande,38.5167,-28.7,293.37,73,20,8.23,PT,1730754898
51,olonkinbyen,70.9221,-8.7187,272.83,92,100,12.18,SJ,1730754899
52,puerto natales,-51.7236,-72.4875,282.4,57,75,9.77,CL,1730754901
53,hami,42.8,93.45,282.15,31,0,1.56,CN,1730754902
54,port alfred,-33.5906,26.891,284.92,97,100,5.7,ZA,1730754903
55,mhamid,29.82,-5.72,295.45,27,93,0.37,MA,1730754904
56,luwuk,-0.9516,122.7875,295.45,84,99,2.08,ID,1730754906
57,ust-nera,64.5667,143.2,247.43,100,96,1.13,RU,1730754908
58,lihue,21.9789,-159.3672,300.92,75,40,6.69,US,1730754909
59,sur,22.5667,59.5289,300.58,56,0,2.14,OM,1730754911
60,zeerust,-25.5369,26.0751,298.59,17,80,6.3,ZA,1730754696
61,mananara,-16.1667,49.7667,296.59,93,95,1.59,MG,1730754913
62,hadibu,12.65,54.0333,299.18,79,15,2.99,YE,1730754914
63,orkney,-26.9802,26.6727,295.67,24,89,4.56,ZA,1730754915
64,yellowknife,62.456,-114.3525,271.71,100,75,2.57,CA,1730754917
65,waitangi,-43.9535,-176.5597,285.83,73,89,1.34,NZ,1730754918
66,ilulissat,69.2167,-51.1,270.16,80,75,6.69,GL,1730754919
67,margaret river,-33.95,115.0667,288.11,73,100,7.26,AU,1730754920
68,wailua homesteads,22.0669,-159.378,300.59,81,40,6.69,US,1730754921
69,bogale,16.2833,95.4,296.61,81,75,2.56,MM,1730754923
70,avarua,-21.2078,-159.775,298.18,83,75,2.06,CK,1730754924
71,saipan,15.1355,145.701,301.54,81,40,6.69,MP,1730754925
72,anadyr,64.75,177.4833,264.43,78,20,7.0,RU,1730754926
73,priozersk,61.0393,30.1291,273.2,86,93,3.94,RU,1730754928
74,hasaki,35.7333,140.8333,292.54,74,82,3.83,JP,1730754929
75,santa rosalia,27.3167,-112.2833,296.31,31,0,9.05,MX,1730754930
76,vernon,50.2581,-119.2691,278.95,85,100,1.79,CA,1730754731
77,gaiman,-43.2897,-65.4929,295.26,14,65,16.21,AR,1730754932
78,college,64.8569,-147.8028,265.97,79,75,1.54,US,1730754933
79,simplicio mendes,-7.8539,-41.9103,306.05,26,27,2.46,BR,1730754934
80,ringas,27.35,75.5667,295.36,29,0,2.62,IN,1730754936
81,usogorsk,63.4106,48.6872,269.55,91,98,2.78,RU,1730754939
82,papatowai,-46.5619,169.4708,286.98,70,34,4.67,NZ,1730754941
83,saint-francois,46.4154,3.9054,282.27,100,40,1.03,FR,1730754942
84,bredasdorp,-34.5322,20.0403,284.16,72,51,2.17,ZA,1730754750
85,petropavlovsk-kamchatsky,53.0452,158.6483,263.48,73,0,4.0,RU,1730754756
86,bridlington,54.0831,-0.1919,283.79,4,100,3.13,GB,1730754945
87,balsas,-7.5325,-46.0356,306.55,35,100,2.29,BR,1730754790
88,invercargill,-46.4,168.35,287.05,78,50,4.02,NZ,1730754948
